Date, Open, High, Low, Close
02/25/20,33175.57,33244.17,31935.14,32022.15
02/24/20,33217.88,33354.97,32910.87,33040.01
02/21/20,34399.89,34409.12,34075.97,34167.21
02/20/20,34571.88,34684.66,34198.73,34533.21
02/19/20,34580.90,34712.51,34563.34,34631.28
02/18/20,34435.64,34510.04,34309.05,34463.28
02/14/20,34532.65,34560.82,34411.74,34547.36
02/13/20,34355.11,34595.00,34327.06,34489.60
02/12/20,34451.44,34536.11,34411.56,34518.37
02/11/20,34361.31,34472.79,34250.02,34299.11
02/10/20,33883.16,34215.55,33883.16,34215.06
02/07/20,34056.93,34104.15,33908.10,33966.22
02/06/20,34192.67,34203.23,34076.39,34168.69
02/05/20,34032.54,34110.52,33877.40,34081.71
02/04/20,33584.52,33842.37,33583.96,33741.36
02/03/20,33085.15,33403.55,33085.15,33227.70
01/31/20,33483.84,33492.57,32859.48,32957.52
01/30/20,33251.86,33568.97,33141.74,33549.61
01/29/20,33631.27,33651.39,33439.19,33452.30
01/28/20,33309.90,33584.23,33266.29,33490.92
01/27/20,33109.53,33310.60,33050.99,33160.16
01/24/20,34065.62,34070.66,33525.03,33672.96
01/23/20,33892.55,34010.44,33742.51,33990.66
01/22/20,34046.42,34121.40,33932.51,33953.52
01/21/20,33940.54,34033.54,33897.28,33938.70
01/17/20,34017.33,34038.75,33943.47,34035.89
01/16/20,33788.95,33938.51,33788.95,33937.32
01/15/20,33559.51,33747.07,33551.34,33641.03
01/14/20,33574.06,33695.54,33509.85,33576.37
01/13/20,33428.09,33603.05,33383.65,33603.04
01/10/20,33525.85,33534.01,33314.47,33359.66
01/09/20,33405.23,33469.97,33349.15,33454.54
01/08/20,33104.73,33390.83,33092.91,33251.94
01/07/20,33136.18,33171.95,33043.73,33097.13
01/06/20,32873.56,33186.57,32861.94,33183.17
01/03/20,32946.89,33178.14,32928.98,33072.84
01/02/20,33189.80,33283.73,33051.72,33282.12
12/31/19,32864.65,33042.39,32842.18,33035.38
12/30/19,33121.41,33129.15,32878.76,32937.77
12/27/19,33213.18,33219.86,33067.10,33122.45
12/26/19,33029.21,33141.06,33029.21,33139.41
12/24/19,32999.77,33009.18,32953.51,32987.97
12/23/19,33018.28,33020.52,32967.58,32985.06
12/20/19,32986.54,32994.66,32904.40,32958.09
12/19/19,32672.26,32798.30,32672.26,32797.45
12/18/19,32682.83,32712.83,32637.97,32649.73
12/17/19,32671.71,32697.55,32623.53,32652.42
12/16/19,32566.00,32706.47,32566.00,32632.83
12/13/19,32385.99,32550.24,32273.43,32395.74
12/12/19,32136.55,32492.67,32107.14,32406.55
12/11/19,32099.95,32165.76,32057.49,32142.60
